Item No,Last Name,First Name,VIAF,Wikipedia Entry,Born,Died,Works in HTRC?,Biological,Pos.(s) in Chronogram,Getty A&A,Unnamed: 11,Item Type
204,Maybeck,Bernard,,https://en.wikipedia.org/wiki/Bernard_Maybeck,2/7/1862,10/3/57,Yes,,1908,,,
205,McHale,John,,https://en.wikipedia.org/wiki/John_McHale_(artist),8/19/22,11/2/78,Yes,,1972,,,
206,Mecanoo,,,https://en.wikipedia.org/wiki/Mecanoo,1984,,No,,1995,,,
207,Meier,Richard,,https://en.wikipedia.org/wiki/Richard_Meier,10/12/34,,Yes,,"1973, 2002",,,
208,Melnikov,Konstantin,,https://en.wikipedia.org/wiki/Konstantin_Melnikov,08/03/1890,11/28/74,No,,1926,,,
209,Mendelsohn,Erich,,https://en.wikipedia.org/wiki/Erich_Mendelsohn,03/21/1887,9/15/53,No,,1923,,,
210,Mewes,Charles,,https://en.wikipedia.org/wiki/Charles_Mew%C3%A8s,1/30/1858,8/9/14,No,,1910,,,
211,Meyer,Hannes,,https://en.wikipedia.org/wiki/Hannes_Meyer,11/18/1889,7/19/54,No,,1930,,,
212,Michelucci,Giovanni,,https://en.wikipedia.org/wiki/Giovanni_Michelucci,1/2/1891,12/31/90,No,,"1942, 1961",,,
213,Mies van der Rohe,Ludwig ,,https://en.wikipedia.org/wiki/Ludwig_Mies_van_der_Rohe,3/27/1886,8/17/69,No,,"1921, 1956",,,
214,Milton Keyens,,,https://en.wikipedia.org/wiki/Milton_Keynes,1/23/67,,No,,1973,,,
215,Miralles,Enric,,https://en.wikipedia.org/wiki/Enric_Miralles,2/12/55,7/3/00,Yes,,1991,,,
216,Moholy-Nagy,Laszlo,,https://en.wikipedia.org/wiki/L%C3%A1szl%C3%B3_Moholy-Nagy,7/20/1895,11/24/46,No,,1930,,,
217,Moisei,Ginzburg,,https://en.wikipedia.org/wiki/Moisei_Ginzburg,6/4/1892,1/7/46,No,,1929,,,
218,Moneo,Rafael,,https://en.wikipedia.org/wiki/Rafael_Moneo,5/9/37,,Yes,,1992,,,
219,Moore,Charles (Willard),,https://en.wikipedia.org/wiki/Charles_Moore_(architect),10/31/25,12/16/93,Yes,,1970,,,
220,Moore,Charles Herbert,,https://en.wikipedia.org/wiki/Charles_Herbert_Moore,4/10/1840,2/15/30,Yes,,,,,
221,Morandi,Giorgio,,https://en.wikipedia.org/wiki/Giorgio_Morandi,7/20/1890,6/18/64,No,,1953,,,
222,Moser,Karl,,https://en.wikipedia.org/wiki/Karl_Moser,8/10/1860,2/28/36,No,,1909,,,
223,Moss,Eric Owen,,https://en.wikipedia.org/wiki/Eric_Owen_Moss,7/25/43,,Yes,,1989,,,
224,Mozuma,,,"https://en.wikipedia.org/wiki/Mazuma,_Nevada",,,,,2001,,,
225,Muthesius,Hermann,,https://en.wikipedia.org/wiki/Hermann_Muthesius,4/20/1861,10/29/27,No,,"1907, 1913",,,
226,Muzio,Giovanni,,https://en.wikipedia.org/wiki/Giovanni_Muzio,2/12/1893,5/21/82,No,,1936,,,
