item-no,pos-in-chrono,poss-names,jencks-name,last-name,first-name,item-type,viaf-link,wikipedia-link,getty-link,born,died,works-in-htdl,unvrf-built-bio-comparisons,top-terms,author,top-bio-keywords,top-bio-systems,n-bio-comparisons,top-built-keywords
459,1997.0,,Bilbaoism,Bilbaoism,,,,,,,,,,,,,,,
458,1993.0,,BIOMORPHIC,BIOMORPHIC,,,,,,,,,,,,,,,
457,1996.0,,Fractals,Fractals,,,,,,,,,,,,,,,
456,2000.0,,Landform,Landform,,,,,,,,,,,,,,,
455,2002.0,,Cosmogenic,Cosmogenic,,,,,,,,,,,,,,,
454,1976.0,,Language of PostModernism,Language of PostModernism,,,,,,,,,,,,,,,
453,1978.0,,double coding,double coding,,,,,,,,,,,,,,,
452,1969.0,,Semiology,Semiology,,,,,,,,,,,,,,,
451,1970.0,,heterogeneity,heterogeneity,,,,,,,,,,,,,,,
450,1974.0,,Complexity & Contradiction,Complexity & Contradiction,,,,,,,,,,,,,,,
449,1978.0,,SITE,SITE,,,,,,,,,,,,,,,
448,1968.0,,STRUCTUALISM,STRUCTUALISM,,,,,,,,,,,,,,,
447,1971.0,,Cardboard Architecture,Cardboard Architecture,,,,,,,,,,,,,,,
446,1971.0,,HIGH TECH,HIGH TECH,,,,,,,,,,,,,,,
445,1957.0,,CIAM-Team x,CIAM-Team x,,,,,,,,,,,,,,,
444,1951.0,,Unite,Unite,,,,,,,,,,,,,,,
443,1950.0,,BRUTALISM,BRUTALISM,,,,,,,,,,,,,,,
442,1956.0,,CHANDIGARH,CHANDIGARH,,,,,,,,,,,,,,,
441,1951.0,,ORGANIC,ORGANIC,,,,,,,,,,,,,,,
440,1924.0,,Communist,Communist,,,,,,,,,,,,,,,
439,1924.0,,CONSTRUCTIVISM,CONSTRUCTIVISM,,,,,,,,,,,,,,,
438,1923.0,,PURISM,PURISM,,,,,,,,,,,,,,,
437,1924.0,,BAUHAUS,BAUHAUS,,,,,,,,,,,,,,,
436,1922.0,,EXPRESSIONISM,EXPRESSIONISM,,,,,,,,,,,,,,,
435,1903.0,,NATIONAL ROMANTICISM,NATIONAL ROMANTICISM,,,,,,,,,,,,,,,
434,1900.0,,ART NOUVEAU,ART NOUVEAU,,,,,,,,,,,,,,,
433,1920.0,,DE-STIJL,DE-STIJL,,,,,,,,,,,,,,,
432,1903.0,,cite industrielle,cite industrielle,,,,,,,,,,,,,,,
431,1914.0,,AMSTERDAM SCHOOL,AMSTERDAM SCHOOL,,,,,,,,,,,"Jencks, Charles","{'Life': 103, 'Movement': 90, 'Back': 83, 'Living': 76, 'Complex': 65}","{'Life': 346, 'Body Regions': 204, 'Physiology, General': 155, 'Skeletal': 54, 'Nervous': 32}",902.0,"{'architecture': 219, 'building': 154, 'city': 57, 'house': 51, 'space': 23}"
431,1914.0,,AMSTERDAM SCHOOL,AMSTERDAM SCHOOL,,,,,,,,,,,"Jencks, Charles.","{'Life': 748, 'Movement': 550, 'System': 490, 'Back': 483, 'Living': 306}","{'Life': 2200, 'Body Regions': 1293, 'Physiology, General': 824, 'Skeletal': 277, 'Nervous': 238}",5746.0,"{'architecture': 1011, 'building': 483, 'city': 271, 'complex': 210, 'house': 203}"
431,1992.0,,Jencks,Jencks,Charles,person,http://viaf.org/viaf/101610494,https://en.wikipedia.org/wiki/Charles_Jencks,,6/21/39,10/13/19,9999.0,,term1 term2 term3 term4 term5,"Jencks, Charles","{'Life': 103, 'Movement': 90, 'Back': 83, 'Living': 76, 'Complex': 65}","{'Life': 346, 'Body Regions': 204, 'Physiology, General': 155, 'Skeletal': 54, 'Nervous': 32}",902.0,"{'architecture': 219, 'building': 154, 'city': 57, 'house': 51, 'space': 23}"
431,1992.0,,Jencks,Jencks,Charles,person,http://viaf.org/viaf/101610494,https://en.wikipedia.org/wiki/Charles_Jencks,,6/21/39,10/13/19,9999.0,,term1 term2 term3 term4 term5,"Jencks, Charles.","{'Life': 748, 'Movement': 550, 'System': 490, 'Back': 483, 'Living': 306}","{'Life': 2200, 'Body Regions': 1293, 'Physiology, General': 824, 'Skeletal': 277, 'Nervous': 238}",5746.0,"{'architecture': 1011, 'building': 483, 'city': 271, 'complex': 210, 'house': 203}"
430,1961.0,,Johansen,Johansen,John M.,person,http://viaf.org/viaf/113523673,https://en.wikipedia.org/wiki/John_M._Johansen,,6/29/16,10/26/12,0.0,0.0,term1 term2 term3 term4 term5,,,,,
429,2002.0,,Zumthor,Zumthor,Peter,person,http://viaf.org/viaf/19852324,https://en.wikipedia.org/wiki/Peter_Zumthor,,4/26/43,,9999.0,,term1 term2 term3 term4 term5,"Zumthor, Peter","{'Back': 11, 'Anatomy': 4, 'Living': 4, 'Life': 4, 'Movement': 3}","{'Body Regions': 14, 'Life': 13, 'Physiology, General': 5, 'Special Senses': 4, 'Anatomy, General': 4}",41.0,"{'architecture': 13, 'building': 2, 'room': 2, 'square': 1, 'space': 1}"
428,1944.0,,Zholtovsky,Zholtovsky,Ivan,person,http://viaf.org/viaf/23837172,https://en.wikipedia.org/wiki/Ivan_Zholtovsky,,11/27/1867,7/16/59,0.0,0.0,term1 term2 term3 term4 term5,,,,,
427,1954.0,,Zevi,Zevi,Bruno,person,http://viaf.org/viaf/108404731,https://en.wikipedia.org/wiki/Bruno_Zevi,,1/22/18,1/9/00,9999.0,,term1 term2 term3 term4 term5,"Zevi, Bruno, 1918-2000","{'Life': 6, 'Movement': 4, 'Complex': 3, 'Back': 3, 'Hand': 3}","{'Life': 17, 'Body Regions': 8, 'Physiology, General': 6, 'Cardiovascular': 2, 'Heredity': 2}",38.0,"{'building': 8, 'cities': 3, 'architecture': 3, 'urban': 2, 'city': 1}"
427,1954.0,,Zevi,Zevi,Bruno,person,http://viaf.org/viaf/108404731,https://en.wikipedia.org/wiki/Bruno_Zevi,,1/22/18,1/9/00,9999.0,,term1 term2 term3 term4 term5,"Zevi, Bruno, 1918-2000.","{'Movement': 127, 'Organic': 101, 'Life': 89, 'Living': 46, 'Hand': 46}","{'Life': 273, 'Physiology, General': 193, 'Body Regions': 84, 'Special Senses': 31, 'Nervous': 29}",697.0,"{'architecture': 337, 'building': 99, 'space': 81, 'plan': 13, 'house': 10}"
