Last Name,First Name,VIAF,Wikipedia Entry,"Born/
Established",Died,Works in HTRC?,Pos.(s) in Chronogram,,
Haring,Hugo,,https://en.wikipedia.org/wiki/Hugo_H%C3%A4ring,05/11/1882,05/17/1958,No,1922,,
Harris,Harwell Hamilton,,https://en.wikipedia.org/wiki/Harwell_Hamilton_Harris,7/2/1903,11/18/1990,No,1941,,
Harrison,Wallace,,https://en.wikipedia.org/wiki/Wallace_Harrison,09/28/1895,12/02/1981,No,1961,,
Hasegawa,Itsuko,,https://en.wikipedia.org/wiki/Itsuko_Hasegawa,1941,,Yes,"1980, 2002",,
Hausermann,Pascal,,https://architectuul.com/architect/pascal-hausermann,1936,,No,1960,,
Hauszinsteur,,,,,,No,,,
Hecker,Ziv,,https://en.wikipedia.org/wiki/Zvi_Hecker,5/31/1931,9/24/2023,No,1989,,
Hejduk,John,,https://en.wikipedia.org/wiki/John_Hejduk,7/19/1929,7/3/2000,Yes,1970,,
Hellerau,,,,,,No,1912,,
Hertzberger,Herman,,https://en.wikipedia.org/wiki/Herman_Hertzberger,7/6/1932,,No,1968,,
Herzog,Jacques,,https://en.wikipedia.org/wiki/Jacques_Herzog,4/19/1950,,No,2002,,
Hilberseimer,Ludwig,,https://en.wikipedia.org/wiki/Ludwig_Hilberseimer,9/14/1885,5/6/1967,Yes,1931,,
Hoffman,Josef,,https://en.wikipedia.org/wiki/Josef_Hoffmann,12/15/1870,5/7/1956,No,1904,,
Holden,Charles,,https://en.wikipedia.org/wiki/Charles_Holden,5/12/1875,5/1/1960,No,1916,,
Holl,Steven,,https://en.wikipedia.org/wiki/Steven_Holl,12/9/1947,,Yes,1999,,
Hollein,Hans,,https://en.wikipedia.org/wiki/Hans_Hollein,3/30/1934,4/24/2014,Yes,1977,,
Hood,Raymond,,https://en.wikipedia.org/wiki/Raymond_Hood,3/29/1881,8/14/1934,Yes,1925,,
Hopkins,Michael ,,https://en.wikipedia.org/wiki/Michael_Hopkins_(architect),5/7/1935,6/17/2023,No,"1979, 1985",,
Horta,Victor,,https://en.wikipedia.org/wiki/Victor_Horta,1/6/1861,9/8/1947,No,1902,,
Howard,Ebenezer,,https://en.wikipedia.org/wiki/Ebenezer_Howard,1/29/1850,5/1/1928,No,1903,,
Hundertwasser,Friedensreich,,https://en.wikipedia.org/wiki/Friedensreich_Hundertwasser,12/15/1928,2/19/2000,Yes,1976,,
Ishii,Kazuhiro,,n/a,2/1/1944,1/14/2015,No,1978,,
Isozaki,Arata,,https://en.wikipedia.org/wiki/Arata_Isozaki,7/23/1931,12/28/2022,Yes,1973,,
Jacobs,Jane,,https://en.wikipedia.org/wiki/Jane_Jacobs,5/4/1916,4/25/2006,No,1961,,
Jacobs,Robert Allan,,https://en.wikipedia.org/wiki/Robert_Allan_Jacobs,9/16/1905,11/4/1993,Yes,1961,,
Jencks,Charles,,https://en.wikipedia.org/wiki/Charles_Jencks,6/21/1939,10/13/2019,Yes,1973,,
Jensen-Klint,Peder Vilhelm,,https://en.wikipedia.org/wiki/Peder_Vilhelm_Jensen-Klint,06/21/1853,12/01/1930,No,1910,,
Jerde,Jon,,https://en.wikipedia.org/wiki/Jon_Jerde,1/22/1940,2/9/2015,No,1979,,
Jiricna,Eva,,https://en.wikipedia.org/wiki/Eva_Ji%C5%99i%C4%8Dn%C3%A1,3/3/1939,,No,1993,,
Johansen,John M.,,https://en.wikipedia.org/wiki/John_M._Johansen,6/29/1916,10/26/2012,No,1960,,
Johansen,John M.,,https://en.wikipedia.org/wiki/John_M._Johansen,6/29/1916,10/26/2012,No,1961,,
Johnson,Philip,,https://en.wikipedia.org/wiki/Philip_Johnson,7/8/1906,1/25/2005,Yes,"1952, 1976",,
Jones,Edward,,https://en.wikipedia.org/wiki/Edward_Jones_(English_architect),10/20/1939,,No,1995,,
Jourdain,Frantz,,https://en.wikipedia.org/wiki/Frantz_Jourdain,10/3/1847,8/22/1935,No,1905,,
Kahn,Louis,,https://en.wikipedia.org/wiki/Louis_Kahn,3/5/1901,3/17/1974,Yes,1966,,
Kallman,Gerhard,,https://en.wikipedia.org/wiki/Gerhard_Kallmann,2/13/1915,6/19/2012,No,1977,,
Karmi,Ram,,https://en.wikipedia.org/wiki/Ram_Karmi,1931,4/11/2013,No,1993,,
Kiesler,Frederick John,,https://en.wikipedia.org/wiki/Frederick_John_Kiesler,9/22/1890,12/27/1965,Yes,"1938, 1959",,
Kikutake,Kiyonori,,https://en.wikipedia.org/wiki/Kiyonori_Kikutake,4/1/1928,12/26/2011,No,1968,,
Kipnis,Jeff,,https://en.wikipedia.org/wiki/Jeff_Kipnis,1951,,No,2001,,
Kitagawara,Atsushi,,https://en.wikipedia.org/wiki/Atsushi_Kitagawara,1951,,No,1996,,
Klint,Kaare,,https://en.wikipedia.org/wiki/Kaare_Klint,12/15/1888,3/23/1954,,1922,,
Klotz,Clemens,,https://en.wikipedia.org/wiki/Clemens_Klotz,5/31/1886,5/22/1905,No,1938,,
Koch,Carl,,https://en.wikipedia.org/wiki/Carl_Koch_(architect),5/11/1912,7/3/1998,Yes,1959,,
