item-no,pos-in-chrono,jencks-name,last-name,first-name,item-type,viaf-link,wikipedia-link,getty-link,born,died,works-in-htdl,unvrf-built-bio-comparisons,top-terms
86,1926,AALTO,Aalto,Alvar,person,http://viaf.org/viaf/71410602,https://en.wikipedia.org/wiki/Alvar_Aalto,,2/3/1898,5/11/1976,9999,,term1 term2 term3 term4 term5
87,1932,AALTO,Aalto,Alvar,person,http://viaf.org/viaf/71410602,https://en.wikipedia.org/wiki/Alvar_Aalto,,2/3/1898,5/11/1976,9999,,term1 term2 term3 term4 term5
88,1960,AALTO,Aalto,Alvar,person,http://viaf.org/viaf/71410602,https://en.wikipedia.org/wiki/Alvar_Aalto,,2/3/1898,5/11/1976,9999,,term1 term2 term3 term4 term5
89,1993,R.Adams,Adams,R.,person,,,,,,0,0,term1 term2 term3 term4 term5
90,1980,Alberts,Alberts,Anton,person,http://viaf.org/viaf/96210715,https://en.wikipedia.org/wiki/Anton_Alberts_(architect),,7/6/1927,8/16/1999,0,0,term1 term2 term3 term4 term5
91,1959,Albini,Albini,Franco,person,http://viaf.org/viaf/845533,https://en.wikipedia.org/wiki/Franco_Albini,,10/17/1905,11/1/1977,0,0,term1 term2 term3 term4 term5
92,1980,C.Alexander,Alexander,Christopher,person,http://viaf.org/viaf/200760292,https://en.wikipedia.org/wiki/Christopher_Alexander,,10/4/1936,3/17/2022,9999,,term1 term2 term3 term4 term5
93,1996,Alsop,Alsop,William,person,http://viaf.org/viaf/79069104,https://en.wikipedia.org/wiki/Will_Alsop,,12/12/1947,5/12/2018,0,0,term1 term2 term3 term4 term5
94,1997,Andreau,Andreu,Paul,person,http://viaf.org/viaf/95844639,https://en.wikipedia.org/wiki/Paul_Andreu,,7/10/1938,10/11/2018,9999,,term1 term2 term3 term4 term5
95,1999,Arad,Arad,Ron,person,http://viaf.org/viaf/96365202,https://en.wikipedia.org/wiki/Ron_Arad_(industrial_designer),,4/24/1951,,9999,,term1 term2 term3 term4 term5
96,1976,ARAU,ARAU,,firm,http://viaf.org/viaf/138848799,https://fr.wikipedia.org/wiki/Atelier_de_recherche_et_d%27action_urbaines,,,,0,0,term1 term2 term3 term4 term5
97,1992,ARM,ARM,,firm,http://viaf.org/viaf/137115246,https://en.wikipedia.org/wiki/ARM_Architecture_(company),,1988,,0,0,term1 term2 term3 term4 term5
98,1980,Arquitectonica,Arquitectonica,,firm,http://viaf.org/viaf/135562537,https://arquitectonica.com/ https://en.wikipedia.org/wiki/Arquitectonica,,1977,,0,0,term1 term2 term3 term4 term5
99,1987,Arquitectonica,Arquitectonica,,firm,http://viaf.org/viaf/135562537,https://arquitectonica.com/ https://en.wikipedia.org/wiki/Arquitectonica,,1977,,0,0,term1 term2 term3 term4 term5
100,1908,Ashbee,Ashbee,Charles Robert,person,http://viaf.org/viaf/76389729,https://en.wikipedia.org/wiki/Charles_Robert_Ashbee,,5/17/1863,5/23/1942,0,0,term1 term2 term3 term4 term5
101,1913,Asplund,Asplund,Gunnar,person,http://viaf.org/viaf/47560120,https://en.wikipedia.org/wiki/Gunnar_Asplund,,9/22/1885,10/20/1940,0,0,term1 term2 term3 term4 term5
102,1960,Aulenti,Aulenti,Gae,person,http://viaf.org/viaf/79173999,https://en.wikipedia.org/wiki/Gae_Aulenti,,12/4/1927,10/31/2012,0,0,term1 term2 term3 term4 term5
103,1916,Bacon,Bacon,Henry,person,http://viaf.org/viaf/68810776,https://en.wikipedia.org/wiki/Henry_Bacon,,11/28/1866,2/16/2024,9999,,term1 term2 term3 term4 term5
104,1989,Badran,Badran,Rasem,person,http://viaf.org/viaf/96507036,https://en.wikipedia.org/wiki/Rasem_Badran,,1945,,0,0,term1 term2 term3 term4 term5
105,1955,Bakema,Bakema,Jaap,person,http://viaf.org/viaf/74646638,https://en.wikipedia.org/wiki/Jaap_Bakema,,3/8/1914,2/20/1981,0,0,term1 term2 term3 term4 term5
106,1913,Baker,Baker,Herbert,person,http://viaf.org/viaf/195963266,https://en.wikipedia.org/wiki/Herbert_Baker,,6/9/1862,2/4/1946,9999,,term1 term2 term3 term4 term5
107,1997,Balmond ,Balmond ,Cecil,person,http://viaf.org/viaf/64828512,https://en.wikipedia.org/wiki/Cecil_Balmond,,1943,,0,0,term1 term2 term3 term4 term5
108,1925,Bartning,Bartning,Otto,person,http://viaf.org/viaf/22932473,https://en.wikipedia.org/wiki/Otto_Bartning,,04/12/1883,2/20/1959,9999,,term1 term2 term3 term4 term5
109,1985,Beeby,Beeby,Thomas,person,http://viaf.org/viaf/31578069,https://en.wikipedia.org/wiki/Thomas_H._Beeby,,1941,,0,0,term1 term2 term3 term4 term5
110,1995,Behnisch,Behnisch,Gunter,person,http://viaf.org/viaf/820613,https://en.wikipedia.org/wiki/G%C3%BCnter_Behnisch,,6/12/1922,7/12/2010,0,0,term1 term2 term3 term4 term5
111,1907,BEHRENS,Behrens,Peter,person,http://viaf.org/viaf/74643773,https://en.wikipedia.org/wiki/Peter_Behrens,,4/14/1868,2/27/1940,0,0,term1 term2 term3 term4 term5
112,1937,Bel Geddes,Bel Geddes,Norman,person,http://viaf.org/viaf/39589087,https://en.wikipedia.org/wiki/Norman_Bel_Geddes,,4/27/1893,5/8/1958,9999,,term1 term2 term3 term4 term5
113,1958,Belluschi,Belluschi,Pietro,person,http://viaf.org/viaf/219148995742359750171,https://en.wikipedia.org/wiki/Pietro_Belluschi,,8/18/1899,2/14/1994,9999,,term1 term2 term3 term4 term5
114,1998,Benson,Benson,Gordon,person,http://viaf.org/viaf/74749519,https://en.wikipedia.org/wiki/Benson_%26_Forsyth,,10/5/1944,,0,0,term1 term2 term3 term4 term5
115,1991,Bicknell,Bicknell,Julian,person,http://viaf.org/viaf/3023049,https://en.wikipedia.org/wiki/Julian_Bicknell,,2/23/1945,,0,0,term1 term2 term3 term4 term5
116,1910,Bloomfiled,Blomfiled,Reginald,person,http://viaf.org/viaf/55247013,https://en.wikipedia.org/wiki/Reginald_Blomfield,,12/20/1856,12/27/1942,0,0,term1 term2 term3 term4 term5
117,1982,Bofill,Bofill,Ricardo,person,http://viaf.org/viaf/109088379,https://en.wikipedia.org/wiki/Ricardo_Bofill,,12/5/1939,1/14/2022,9999,,term1 term2 term3 term4 term5
118,1929,D.Bohm,Bohm,Dominikus,person,http://viaf.org/viaf/27865161,https://en.wikipedia.org/wiki/Dominikus_B%C3%B6hm,,10/23/1880,8/6/1955,0,0,term1 term2 term3 term4 term5
119,1968,G.Bohm,Böhm,Gottfried,person,http://viaf.org/viaf/92946938,https://en.wikipedia.org/wiki/Gottfried_B%C3%B6hm,,1/23/1920,6/9/2021,0,0,term1 term2 term3 term4 term5
120,1997,Bolles-Wilson,Bolles+Wilson,,,http://viaf.org/viaf/263893601,https://en.wikipedia.org/wiki/Bolles%2BWilson,,1980,,0,0,term1 term2 term3 term4 term5
121,1910,Bonatz,Bonatz,Paul,person,http://viaf.org/viaf/72185130,https://en.wikipedia.org/wiki/Paul_Bonatz,,12/6/1877,12/20/1956,0,0,term1 term2 term3 term4 term5
122,1898,Ricardo,Bosco,Ricardo Velázquez,person,http://viaf.org/viaf/52750908,https://en.wikipedia.org/wiki/Ricardo_Vel%C3%A1zquez_Bosco,,3/21/1843,7/31/1923,0,0,term1 term2 term3 term4 term5
123,1988,Botta,Botta,Mario,person,http://viaf.org/viaf/95775085,https://en.wikipedia.org/wiki/Mario_Botta,,4/1/1943,,9999,,term1 term2 term3 term4 term5
124,1902,Bournville,Bournville,,,,,,,,0,0,term1 term2 term3 term4 term5
125,1953,Breuer,Breuer,Marcel,person,http://viaf.org/viaf/9899554,https://en.wikipedia.org/wiki/Marcel_Breuer,,5/21/1902,7/1/1981,9999,,term1 term2 term3 term4 term5
126,1910,Brydon,Brydon,J.M.,person,http://viaf.org/viaf/96593857,https://en.wikipedia.org/wiki/J._M._Brydon,,1840,5/25/1901,0,0,term1 term2 term3 term4 term5
127,1902,Burnet,Burnet,John James,person,http://viaf.org/viaf/13370629,https://en.wikipedia.org/wiki/John_James_Burnet,,5/31/1857,7/2/1938,0,0,term1 term2 term3 term4 term5
128,,,Burnet,John,,http://viaf.org/viaf/13370629,https://en.wikipedia.org/wiki/John_Burnet_(architect),,9/27/1814,1/15/1901,,,term1 term2 term3 term4 term5
129,1977,Byker,Byker,,,,,,,,0,0,term1 term2 term3 term4 term5
130,1915,Chiattone,Chiattone,Mario,person,http://viaf.org/viaf/77404291,https://www.encyclopedia.com/education/dictionaries-thesauruses-pictures-and-press-releases/chiattone-mario,,1891,1957,0,0,term1 term2 term3 term4 term5
131,1999,Ciriani,Ciriani,Henri,person,http://viaf.org/viaf/54263344,https://en.wikipedia.org/wiki/Henri_Ciriani,,12/30/1936,,0,0,term1 term2 term3 term4 term5
132,1996,Clubs,Clubs,,,,,,,,0,0,term1 term2 term3 term4 term5
133,1997,Coates,Coates,Nigel,person,http://viaf.org/viaf/95722473,https://en.wikipedia.org/wiki/Nigel_Coates_(architect),,1949,,0,0,term1 term2 term3 term4 term5
134,1989,Correa,Correa,Charles,person,http://viaf.org/viaf/49365166,https://en.wikipedia.org/wiki/Charles_Correa,,9/1/1930,6/16/2015,9999,,term1 term2 term3 term4 term5
135,1954,Costa,Costa,Lúcio,person,http://viaf.org/viaf/24785160,https://en.wikipedia.org/wiki/L%C3%BAcio_Costa,,2/27/1902,6/13/1998,0,0,term1 term2 term3 term4 term5
136,1928,Cret,Cret,Paul Philippe,person,http://viaf.org/viaf/88942809,https://en.wikipedia.org/wiki/Paul_Philippe_Cret,,10/23/1876,9/8/1945,0,0,term1 term2 term3 term4 term5
137,1965,Cumbernauld,Cumbernauld,,,"https://viaf.org/en/viaf/124365072
https://viaf.org/en/viaf/133741637",,,,,0,0,term1 term2 term3 term4 term5
138,1911,Czech Cubists,Czech Cubists,,,,https://en.wikipedia.org/wiki/Czech_Cubism,,1912-1914,,0,0,term1 term2 term3 term4 term5
139,1907,Darmstadt Mathildenhohe,Darmstadt Mathildenhohe,,,http://viaf.org/viaf/205929307,https://whc.unesco.org/en/list/1614/,,1899,,0,0,term1 term2 term3 term4 term5
140,1965,De Carlo,De Carlo,Giancarlo,person,http://viaf.org/viaf/95745219,https://en.wikipedia.org/wiki/Giancarlo_De_Carlo,,12/12/1919,6/4/2005,9999,,term1 term2 term3 term4 term5
141,1939,de Finetti,de Finetti,Giuseppe,person,http://viaf.org/viaf/64881157,https://it.wikipedia.org/wiki/Giuseppe_de_Finetti,,3/5/1892,1/19/1952,0,0,term1 term2 term3 term4 term5
142,1914,De Klerk,de Klerk,Michel,person,http://viaf.org/viaf/54971116,https://en.wikipedia.org/wiki/Michel_de_Klerk,,11/24/1884,11/24/1923,0,0,term1 term2 term3 term4 term5
143,1921,De Klerk,de Klerk,Michel,person,http://viaf.org/viaf/54971116,https://en.wikipedia.org/wiki/Michel_de_Klerk,,11/24/1884,11/24/1923,0,0,term1 term2 term3 term4 term5
